study_name	variable_name	variable_label	folder	description	visit	calculation	type	total_subjects	units	n	mean	stddev	median	min	max	unknown		
BESTAIR	avgneckcm	Average neck circumference	Anthropometry		Month-6 Follow-up Visit		numeric		centimeters (cm)	55	41.8	3.6	41.7	33.1	49.5	114		
BESTAIR	avgneckcm	Average neck circumference	Anthropometry		Month-12 Follow-up Visit		numeric		centimeters (cm)	80	41.7	4.3	42.5	32	52.2	28		
BESTAIR	avgseateddiastolic	Average seated diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Seated Blood Pressure		Baseline Visit		numeric		millimeters of mercury (mmHg)	169	70.3	9.2	69	39.7	99.7	-		
BESTAIR	avgseateddiastolic	Average seated diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Seated Blood Pressure		Month-6 Follow-up Visit		numeric		millimeters of mercury (mmHg)	135	71	9.8	69.7	49.3	102	34		
BESTAIR	avgseateddiastolic	Average seated diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Seated Blood Pressure		Month-12 Follow-up Visit		numeric		millimeters of mercury (mmHg)	80	69.8	8.5	68.2	48.3	93.3	28		
BESTAIR	avgseatedpulse	Average seated radial pulse rate	Clinical Data/Vital Signs/Seated Blood Pressure		Baseline Visit		numeric		beats per minute (bpm)	169	63.2	10.7	61.7	42.7	92.7	-		
BESTAIR	avgseatedpulse	Average seated radial pulse rate	Clinical Data/Vital Signs/Seated Blood Pressure		Month-6 Follow-up Visit		numeric		beats per minute (bpm)	135	64.2	10.6	62.3	41.3	92.7	34		
BESTAIR	avgseatedpulse	Average seated radial pulse rate	Clinical Data/Vital Signs/Seated Blood Pressure		Month-12 Follow-up Visit		numeric		beats per minute (bpm)	80	62.5	11.3	62.3	40.7	96.3	28		
BESTAIR	avgseatedsystolic	Average seated systolic blood pressure (SBP)	Clinical Data/Vital Signs/Seated Blood Pressure		Baseline Visit		numeric		millimeters of mercury (mmHg)	169	125.2	17.2	124.7	75.3	169	-		
BESTAIR	avgseatedsystolic	Average seated systolic blood pressure (SBP)	Clinical Data/Vital Signs/Seated Blood Pressure		Month-6 Follow-up Visit		numeric		millimeters of mercury (mmHg)	135	124.2	15.9	124	87.3	169	34		
BESTAIR	avgseatedsystolic	Average seated systolic blood pressure (SBP)	Clinical Data/Vital Signs/Seated Blood Pressure		Month-12 Follow-up Visit		numeric		millimeters of mercury (mmHg)	80	126.3	16.8	126.8	76	175.7	28		
BESTAIR	avgwaistcm	Average waist circumference	Anthropometry		Baseline Visit		numeric		centimeters (cm)	168	110.5	14.1	109.3	82.4	159.2	1		
BESTAIR	avgwaistcm	Average waist circumference	Anthropometry		Month-6 Follow-up Visit		numeric		centimeters (cm)	55	109.5	12.2	108.3	86.6	140.1	114		
BESTAIR	avgwaistcm	Average waist circumference	Anthropometry		Month-12 Follow-up Visit		numeric		centimeters (cm)	79	109.5	13.6	111.7	79.3	137.5	29		
BESTAIR	awave	Peak A wave velocity	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		centimeters per second (cm/sec)	144	79	21.5	76.7	34	146.9	25		
BESTAIR	awave	Peak A wave velocity	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		centimeters per second (cm/sec)	-	-	-	-	-	-	-		
BESTAIR	awave	Peak A wave velocity	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		centimeters per second (cm/sec)	68	80.6	23.3	76.9	42.8	166.4	40		
BESTAIR	bloods_albumin_creatin_ratio	Urine albumin/creatinine ratio (ACR)	Clinical Data/Laboratory Tests		Baseline Visit		numeric			163	80.5	548.3	14	0.6	6961.4	6		
BESTAIR	bloods_albumin_creatin_ratio	Urine albumin/creatinine ratio (ACR)	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric			131	59.3	289.3	12.2	0.8	3277.3	38		
BESTAIR	bloods_albumin_creatin_ratio	Urine albumin/creatinine ratio (ACR)	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric			80	44.6	102.3	11.1	1	785.8	28		
BESTAIR	bloods_bnp	B-type natriuretic peptide (BNP)	Clinical Data/Laboratory Tests		Baseline Visit		numeric		picograms per milliliter (pg/mL)	129	168.8	224.9	94.6	10	1514	40		
BESTAIR	bloods_bnp	B-type natriuretic peptide (BNP)	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		picograms per milliliter (pg/mL)	129	164.8	219.1	91.1	7.5	1285	40		
BESTAIR	bloods_bnp	B-type natriuretic peptide (BNP)	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		picograms per milliliter (pg/mL)	-	-	-	-	-	-	-		
BESTAIR	bloods_creactivepro	C-Reactive protein (CRP)	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per liter (mg/L)	167	4.2	11.2	1.7	0.1	115.1	2		
BESTAIR	bloods_creactivepro	C-Reactive protein (CRP)	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per liter (mg/L)	134	3.2	5.6	1.6	0.1	56.1	35		
BESTAIR	bloods_creactivepro	C-Reactive protein (CRP)	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per liter (mg/L)	80	3.9	5.9	1.7	0.3	34.8	28		
BESTAIR	bloods_fibrinactivity	Fibrinogen activity	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	157	322.4	75.1	319	135	744	12		
BESTAIR	bloods_fibrinactivity	Fibrinogen activity	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	130	327.7	64.9	327	137	517	39		
BESTAIR	bloods_fibrinactivity	Fibrinogen activity	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	74	324.9	58	315.5	200	557	34		
BESTAIR	bloods_gfr	Glomerular filtration rate (GFR)	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milliliters per minute per 1.73 meters squared (mL/min per 1.73 m2)	130	80.2	19.4	79	40.6	135.6	39		
BESTAIR	bloods_gfr	Glomerular filtration rate (GFR)	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milliliters per minute per 1.73 meters squared (mL/min per 1.73 m2)	131	79.9	18	78.5	36.8	128.6	38		
BESTAIR	bloods_gfr	Glomerular filtration rate (GFR)	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milliliters per minute per 1.73 meters squared (mL/min per 1.73 m2)	-	-	-	-	-	-	-		
BESTAIR	bloods_hdlchol	High-density lipoproteins (HDL) cholesterol	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	168	50.5	14.6	49	19	97	1		
BESTAIR	bloods_hdlchol	High-density lipoproteins (HDL) cholesterol	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	134	51.5	13.6	50	26	92	35		
BESTAIR	bloods_hdlchol	High-density lipoproteins (HDL) cholesterol	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	80	50.6	13.9	48.5	26	86	28		
BESTAIR	bloods_hemoa1c	Glycated hemoglobin (HbA1c)	Clinical Data/Laboratory Tests		Baseline Visit		numeric		percent (%)	165	6.3	1.1	6	4.6	12	4		
BESTAIR	bloods_hemoa1c	Glycated hemoglobin (HbA1c)	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		percent (%)	132	6.2	1	5.9	4.3	10.9	37		
BESTAIR	bloods_hemoa1c	Glycated hemoglobin (HbA1c)	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		percent (%)	80	6.3	1.1	5.9	4.8	10.2	28		
BESTAIR	bloods_il6	Interleukin 6 (IL-6)	Clinical Data/Laboratory Tests		Baseline Visit		numeric		picograms per milliliter (pg/mL)	165	5	15.1	2.8	0.5	165.2	4		
BESTAIR	bloods_il6	Interleukin 6 (IL-6)	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		picograms per milliliter (pg/mL)	109	8.5	38.2	2.6	0.7	370.9	60		
BESTAIR	bloods_il6	Interleukin 6 (IL-6)	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		picograms per milliliter (pg/mL)	79	5.9	18.7	3	0.7	167.7	29		
BESTAIR	bloods_insulinfast	Fasting insulin	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milli-international units per milliliter (uIU/mL)	166	15.5	17.1	11	1.9	135	3		
BESTAIR	bloods_insulinfast	Fasting insulin	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milli-international units per milliliter (uIU/mL)	110	14.5	11.9	11.2	1.8	80.9	59		
BESTAIR	bloods_insulinfast	Fasting insulin	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milli-international units per milliliter (uIU/mL)	80	15.6	21.4	9.1	3.1	130.4	28		
BESTAIR	bloods_ldlcholcalc	Low-density lipoproteins (LDL) cholesterol	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	166	89.6	30.7	84	32	227	3		
BESTAIR	bloods_ldlcholcalc	Low-density lipoproteins (LDL) cholesterol	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	133	92.7	32.6	86	42	280	36		
BESTAIR	bloods_ldlcholcalc	Low-density lipoproteins (LDL) cholesterol	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	78	94.9	31.3	89.5	40	213	30		
BESTAIR	bloods_pai1	Plasminogen activator inhibitor-1 (PAI-1)	Clinical Data/Laboratory Tests		Baseline Visit		numeric		nanograms per milliliter (ng/mL)	164	6.6	4.7	5.1	0.7	23	5		
BESTAIR	bloods_pai1	Plasminogen activator inhibitor-1 (PAI-1)	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		nanograms per milliliter (ng/mL)	110	6.9	5.2	5.5	0.9	27.6	59		
BESTAIR	bloods_pai1	Plasminogen activator inhibitor-1 (PAI-1)	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		nanograms per milliliter (ng/mL)	80	6.8	6.2	4.8	0.8	37	28		
BESTAIR	bloods_serumcreatin	Serum creatinine	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	130	0.9	0.2	0.9	0.5	1.7	39		
BESTAIR	bloods_serumcreatin	Serum creatinine	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	131	0.9	0.2	0.9	0.5	1.8	38		
BESTAIR	bloods_serumcreatin	Serum creatinine	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	-	-	-	-	-	-	-		
BESTAIR	bloods_serumgluc	Serum glucose	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	167	112.7	33.7	103	61	303	2		
BESTAIR	bloods_serumgluc	Serum glucose	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	134	117.3	46.1	104	62	404	35		
BESTAIR	bloods_serumgluc	Serum glucose	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	80	112.6	29.3	102	74	237	28		
BESTAIR	bloods_totalchol	Total cholesterol	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	168	165.1	36.1	161	91	313	1		
BESTAIR	bloods_totalchol	Total cholesterol	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	134	168.1	37.3	164	105	362	35		
BESTAIR	bloods_totalchol	Total cholesterol	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	80	172.8	36.9	166.5	109	301	28		
BESTAIR	bloods_triglyc	Triglycerides	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	168	127	73.4	111	40	557	1		
BESTAIR	bloods_triglyc	Triglycerides	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	134	120.9	64.3	103	45	583	35		
BESTAIR	bloods_triglyc	Triglycerides	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	80	144.9	133.7	113.5	58	1142	28		
BESTAIR	bloods_urinecreatin	Urine creatinine	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	163	115.7	66.6	103.5	14	387.3	6		
BESTAIR	bloods_urinecreatin	Urine creatinine	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	131	110.6	58.7	104.4	15.6	288.2	38		
BESTAIR	bloods_urinecreatin	Urine creatinine	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	80	121.7	71.1	111.2	11.6	372.1	28		
BESTAIR	bloods_urinemicro	Urine microalbumin	Clinical Data/Laboratory Tests		Baseline Visit		numeric		micrograms per milliliter (ug/mL)	163	51.5	205.6	10.4	1	2540.9	6		
BESTAIR	bloods_urinemicro	Urine microalbumin	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		micrograms per milliliter (ug/mL)	131	47.1	168.1	11.1	1	1832	38		
BESTAIR	bloods_urinemicro	Urine microalbumin	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		micrograms per milliliter (ug/mL)	80	39.2	70.3	10.4	1.1	420.4	28		
BESTAIR	bloods_vldlcholcal	Very low-density lipoproteins (VLDL) cholesterol	Clinical Data/Laboratory Tests		Baseline Visit		numeric		milligrams per deciliter (mg/dL)	166	24.4	11.6	22	8	77	3		
BESTAIR	bloods_vldlcholcal	Very low-density lipoproteins (VLDL) cholesterol	Clinical Data/Laboratory Tests		Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	133	23.4	10.1	20	9	56	36		
BESTAIR	bloods_vldlcholcal	Very low-density lipoproteins (VLDL) cholesterol	Clinical Data/Laboratory Tests		Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	78	25.6	12.1	22.5	12	65	30		
BESTAIR	bmi	Body mass index (BMI)	Anthropometry		Baseline Visit		numeric		kilograms per meter squared (kg/m2)	169	31.7	5.9	31.2	19.6	62.9	-		
BESTAIR	bmi	Body mass index (BMI)	Anthropometry		Month-6 Follow-up Visit		numeric		kilograms per meter squared (kg/m2)	136	31.4	5.3	31.3	20.2	47	33		
BESTAIR	bmi	Body mass index (BMI)	Anthropometry		Month-12 Follow-up Visit		numeric		kilograms per meter squared (kg/m2)	80	31.7	5.8	31.7	20.2	48	28		
BESTAIR	bp24dbpweight	Weighted average of diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Baseline Visit		numeric		millimeters of mercury (mmHg)	161	72.4	7.8	72.5	52.5	92.2	8		
BESTAIR	bp24dbpweight	Weighted average of diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-6 Follow-up Visit		numeric		millimeters of mercury (mmHg)	124	72.4	8.9	71.7	51.6	100.9	45		
BESTAIR	bp24dbpweight	Weighted average of diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-12 Follow-up Visit		numeric		millimeters of mercury (mmHg)	72	71.4	7.1	71.1	57.9	85.7	36		
BESTAIR	bp24mapweight	Weighted average of mean arterial pressure (MAP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Baseline Visit		numeric		millimeters of mercury (mmHg)	161	89.6	8.7	89.6	68.4	115.5	8		
BESTAIR	bp24mapweight	Weighted average of mean arterial pressure (MAP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-6 Follow-up Visit		numeric		millimeters of mercury (mmHg)	124	89.9	9.3	89.1	70.1	122.5	45		
BESTAIR	bp24mapweight	Weighted average of mean arterial pressure (MAP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-12 Follow-up Visit		numeric		millimeters of mercury (mmHg)	72	89.3	8.1	89.2	75	110.3	36		
BESTAIR	bp24sbpweight	Weighted average of systolic blood pressure (SBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Baseline Visit		numeric		millimeters of mercury (mmHg)	161	124.1	13.1	123.2	98.3	166.8	8		
BESTAIR	bp24sbpweight	Weighted average of systolic blood pressure (SBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-6 Follow-up Visit		numeric		millimeters of mercury (mmHg)	124	124.9	12.6	123.7	100.2	165.7	45		
BESTAIR	bp24sbpweight	Weighted average of systolic blood pressure (SBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-12 Follow-up Visit		numeric		millimeters of mercury (mmHg)	72	124.9	13.2	124.6	97.1	160.3	36		
BESTAIR	cal_total	Total score of the Calgary Sleep Apnea Quality of Life Index (SAQLI)	Sleep Questionnaires/Calgary Sleep Apnea Quality of Life Index (Calgary SAQLI)		Baseline Visit		numeric			166	4.8	0.9	5	1.9	6.3	3		
BESTAIR	cal_total	Total score of the Calgary Sleep Apnea Quality of Life Index (SAQLI)	Sleep Questionnaires/Calgary Sleep Apnea Quality of Life Index (Calgary SAQLI)		Month-6 Follow-up Visit		numeric			136	4.8	0.8	4.9	1.8	6.3	33		
BESTAIR	cal_total	Total score of the Calgary Sleep Apnea Quality of Life Index (SAQLI)	Sleep Questionnaires/Calgary Sleep Apnea Quality of Life Index (Calgary SAQLI)		Month-12 Follow-up Visit		numeric			79	4.9	0.7	4.9	3.3	6.4	29		
BESTAIR	eeprimelat	Ratio of early mitral inflow velocity to lateral mitral annular early diastolic velocity (E/E' Lateral)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric			149	8.3	2.9	7.8	4.1	19.8	20		
BESTAIR	eeprimelat	Ratio of early mitral inflow velocity to lateral mitral annular early diastolic velocity (E/E' Lateral)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric			-	-	-	-	-	-	-		
BESTAIR	eeprimelat	Ratio of early mitral inflow velocity to lateral mitral annular early diastolic velocity (E/E' Lateral)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric			69	8.6	2.9	8.1	4.3	16.7	39		
BESTAIR	ess_total	Total score of Epworth Sleepiness Scale (ESS)	Sleep Questionnaires/Hypersomnia		Baseline Visit		integer			164	8.3	4.5	8	0	24	5		
BESTAIR	ess_total	Total score of Epworth Sleepiness Scale (ESS)	Sleep Questionnaires/Hypersomnia		Month-6 Follow-up Visit		integer			136	6.9	4	6	0	18	33		
BESTAIR	ess_total	Total score of Epworth Sleepiness Scale (ESS)	Sleep Questionnaires/Hypersomnia		Month-12 Follow-up Visit		integer			76	6.9	4.1	6	0	18	32		
BESTAIR	ewave	Peak E wave velocity	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		centimeters per second (cm/sec)	150	80.1	22.1	78	45	180	19		
BESTAIR	ewave	Peak E wave velocity	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		centimeters per second (cm/sec)	-	-	-	-	-	-	-		
BESTAIR	ewave	Peak E wave velocity	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		centimeters per second (cm/sec)	69	82.3	21.5	79	42	175	39		
BESTAIR	ivs	Parasternal long axis view: Interventricular septum thickness	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		centimeters (cm)	150	1.1	0.2	1.1	0.8	1.8	19		
BESTAIR	ivs	Parasternal long axis view: Interventricular septum thickness	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		centimeters (cm)	-	-	-	-	-	-	-		
BESTAIR	ivs	Parasternal long axis view: Interventricular septum thickness	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		centimeters (cm)	68	1.1	0.2	1.1	0.8	1.6	40		
BESTAIR	lav	Left atrial volume (LAV)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		milliliters (mL)	151	51.9	18.9	49.5	19.6	164.6	18		
BESTAIR	lav	Left atrial volume (LAV)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		milliliters (mL)	-	-	-	-	-	-	-		
BESTAIR	lav	Left atrial volume (LAV)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		milliliters (mL)	68	48	18.5	43.9	24.9	140.8	40		
BESTAIR	lavi	Left atrial volume index (LAVI)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		milliliters per meter squared (mL/m2)	151	25.4	9.2	24.6	10.5	78.9	18		
BESTAIR	lavi	Left atrial volume index (LAVI)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		milliliters per meter squared (mL/m2)	-	-	-	-	-	-	-		
BESTAIR	lavi	Left atrial volume index (LAVI)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		milliliters per meter squared (mL/m2)	68	23.4	8.5	21.8	11.2	68.1	40		
BESTAIR	lvedd	Parasternal long axis view: Left ventricular end-diastolic diameter (LV - EDD)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		centimeters (cm)	150	4.4	0.5	4.4	3.2	6.3	19		
BESTAIR	lvedd	Parasternal long axis view: Left ventricular end-diastolic diameter (LV - EDD)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		centimeters (cm)	-	-	-	-	-	-	-		
BESTAIR	lvedd	Parasternal long axis view: Left ventricular end-diastolic diameter (LV - EDD)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		centimeters (cm)	68	4.4	0.4	4.4	3.3	5.3	40		
BESTAIR	lvedv	End-diastolic volume (EDV)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		milliliters (mL)	150	112.8	20	112.8	73	181.9	19		
BESTAIR	lvedv	End-diastolic volume (EDV)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		milliliters (mL)	-	-	-	-	-	-	-		
BESTAIR	lvedv	End-diastolic volume (EDV)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		milliliters (mL)	69	111.2	19.9	114.3	73.3	176.3	39		
BESTAIR	lvef	Ejection fraction (EF)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		percent (%)	150	60.5	4.7	61.3	31.9	71	19		
BESTAIR	lvef	Ejection fraction (EF)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		percent (%)	-	-	-	-	-	-	-		
BESTAIR	lvef	Ejection fraction (EF)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		percent (%)	69	60.9	4.2	61.5	48.4	66.5	39		
BESTAIR	lvesd	Parasternal long axis view: Left ventricular end-systolic diameter (LV - ESD)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		centimeters (cm)	148	2.8	0.4	2.8	1.8	4.6	21		
BESTAIR	lvesd	Parasternal long axis view: Left ventricular end-systolic diameter (LV - ESD)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		centimeters (cm)	-	-	-	-	-	-	-		
BESTAIR	lvesd	Parasternal long axis view: Left ventricular end-systolic diameter (LV - ESD)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		centimeters (cm)	66	2.8	0.4	2.8	1.8	3.8	42		
BESTAIR	lvesv	End-systolic volume (ESV)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		milliliters (mL)	150	45	11.9	44.4	27.9	107.9	19		
BESTAIR	lvesv	End-systolic volume (ESV)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		milliliters (mL)	-	-	-	-	-	-	-		
BESTAIR	lvesv	End-systolic volume (ESV)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		milliliters (mL)	69	43.9	11.7	41	26.6	87	39		
BESTAIR	lvm	Left ventricular mass (LVM)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		grams (g)	150	161	42.1	153.7	82.1	317.1	19		
BESTAIR	lvm	Left ventricular mass (LVM)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		grams (g)	-	-	-	-	-	-	-		
BESTAIR	lvm	Left ventricular mass (LVM)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		grams (g)	68	157.8	45.2	151	76.6	312.9	40		
BESTAIR	lvmi	Left ventricular mass index (LVMI)	Clinical Data/Diagnostic Studies/Echocardiography		Baseline Visit		numeric		grams per meter squared (g/m2)	150	78.5	17.6	76.7	40.6	125.5	19		
BESTAIR	lvmi	Left ventricular mass index (LVMI)	Clinical Data/Diagnostic Studies/Echocardiography		Month-6 Follow-up Visit		numeric		grams per meter squared (g/m2)	-	-	-	-	-	-	-		
BESTAIR	lvmi	Left ventricular mass index (LVMI)	Clinical Data/Diagnostic Studies/Echocardiography		Month-12 Follow-up Visit		numeric		grams per meter squared (g/m2)	68	76.7	19	75.6	45.1	127.7	40		
BESTAIR	nreadings	Number of readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Baseline Visit		integer			166	78	14.6	78	1	112	3		
BESTAIR	nreadings	Number of readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-6 Follow-up Visit		integer			131	76.9	14.7	77	8	122	38		
BESTAIR	nreadings	Number of readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-12 Follow-up Visit		integer			75	76.2	14	77	30	102	33		
BESTAIR	nsleep	Number of sleep readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Baseline Visit		integer			162	15.9	4.3	16	2	30	7		
BESTAIR	nsleep	Number of sleep readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-6 Follow-up Visit		integer			126	16.5	4.6	16	2	37	43		
BESTAIR	nsleep	Number of sleep readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure		Month-12 Follow-up Visit		integer			73	16	3.8	16	6	24	35		
BESTAIR	nsrr_age	Subject age	Harmonized/Demographics	Harmonized by the NSRR team to align with TOPMed and BioDataCatalyst standards. Source: age at Baseline	Baseline Visit		numeric	169	years	169	64.3	7.4	66	46	76	-		
BESTAIR	nsrr_age	Subject age	Harmonized/Demographics	Harmonized by the NSRR team to align with TOPMed and BioDataCatalyst standards. Source: age at Baseline	Month-6 Follow-up Visit		numeric	-	years	-	-	-	-	-	-	-		
BESTAIR	nsrr_age	Subject age	Harmonized/Demographics	Harmonized by the NSRR team to align with TOPMed and BioDataCatalyst standards. Source: age at Baseline	Month-12 Follow-up Visit		numeric	-	years	-	-	-	-	-	-	-		
BESTAIR	nsrr_bmi	Body mass index (BMI)	Harmonized/Anthropometry	Harmonized by the NSRR team to align with TOPMed and BioDataCatalyst standards. Source: bmi at Baseline	Baseline Visit		numeric	169	kilograms per square meter	169	31.7	5.9	31.2	19.6	62.9	-		
BESTAIR	nsrr_bmi	Body mass index (BMI)	Harmonized/Anthropometry	Harmonized by the NSRR team to align with TOPMed and BioDataCatalyst standards. Source: bmi at Baseline	Month-6 Follow-up Visit		numeric	-	kilograms per square meter	-	-	-	-	-	-	-		
