study_name	variable_name	variable_label	folder	description	visit	calculation	type	total_subjects	units	n	mean	stddev	median	min	max	unknown
ABC	minlvlsa_f1t1	Minimum oxygen saturation level in total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography	Minimum oxygen saturation level in total sleep duration from type I polysomnography	18-Month Followup		numeric		percent (%)	40	79.9	13.1	83	7	90	-
ABC	oahi_oa0uhp3x3u_f1t1	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation  and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Baseline	oahi_oa0uhp3x3u_f1t1= 60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	49	49.3	26.8	42.7	0.7	129.5	-
ABC	oahi_oa0uhp3x3u_f1t1	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation  and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	9-Month Followup	oahi_oa0uhp3x3u_f1t1= 60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	43	36.9	28.3	28.2	5.1	112.2	-
ABC	oahi_oa0uhp3x3u_f1t1	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation  and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	18-Month Followup	oahi_oa0uhp3x3u_f1t1= 60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	40	34.9	23.6	28.5	4.1	87.2	-
ABC	oahi_oa0uhp3x4r_f1t1	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Baseline	oahi_oa0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	49	44.2	27.4	35.3	0.7	124	-
ABC	oahi_oa0uhp3x4r_f1t1	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	9-Month Followup	oahi_oa0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	43	33	27.9	23.8	3.3	109.9	-
ABC	oahi_oa0uhp3x4r_f1t1	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	18-Month Followup	oahi_oa0uhp3x4r_f1t1= 60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	40	30.5	22.3	24.1	3.1	81.4	-
ABC	oai_oa0u_f1t1	Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Baseline	oai_oa0u_f1t1= 60 * (oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	49	12.1	19	3.6	0	78.4	-
ABC	oai_oa0u_f1t1	Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	9-Month Followup	oai_oa0u_f1t1= 60 * (oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	43	9.1	19	1.7	0	83.9	-
ABC	oai_oa0u_f1t1	Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	18-Month Followup	oai_oa0u_f1t1= 60 * (oarbp + oarop + oanbp + oanop) / ttldursp	numeric		events per hour	40	5.7	9.4	2	0	42	-
ABC	ttldursp_s1_f1t1	Total sleep duration in stage 1 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 1 sleep from type I polysomnography	Baseline		numeric		minutes	49	83.4	51	81	15	253	-
ABC	ttldursp_s1_f1t1	Total sleep duration in stage 1 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 1 sleep from type I polysomnography	9-Month Followup		numeric		minutes	43	70.2	36.8	64	10	155	-
ABC	ttldursp_s1_f1t1	Total sleep duration in stage 1 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 1 sleep from type I polysomnography	18-Month Followup		numeric		minutes	40	63.2	37	57.5	11	156	-
ABC	ttldursp_s2_f1t1	Total sleep duration in stage 2 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 2 sleep from type I polysomnography	Baseline		numeric		minutes	49	184.5	57	185	45	271	-
ABC	ttldursp_s2_f1t1	Total sleep duration in stage 2 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 2 sleep from type I polysomnography	9-Month Followup		numeric		minutes	43	206.9	49.9	211	77	305	-
ABC	ttldursp_s2_f1t1	Total sleep duration in stage 2 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 2 sleep from type I polysomnography	18-Month Followup		numeric		minutes	40	205.9	51.9	200.5	117	313	-
ABC	ttldursp_s3_f1t1	Total sleep duration in stage 3 - 4 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 3 - 4 sleep from type I polysomnography	Baseline		numeric		minutes	49	39.8	30.4	34	0	105	-
ABC	ttldursp_s3_f1t1	Total sleep duration in stage 3 - 4 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 3 - 4 sleep from type I polysomnography	9-Month Followup		numeric		minutes	43	45.1	33.8	47	0	123	-
ABC	ttldursp_s3_f1t1	Total sleep duration in stage 3 - 4 sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in stage 3 - 4 sleep from type I polysomnography	18-Month Followup		numeric		minutes	40	50.4	39.1	43.5	0	138	-
ABC	ttldursp_sr_f1t1	Total sleep duration in REM sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in REM sleep from type I polysomnography	Baseline		numeric		minutes	49	66.6	31.3	66	13	126	-
ABC	ttldursp_sr_f1t1	Total sleep duration in REM sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in REM sleep from type I polysomnography	9-Month Followup		numeric		minutes	43	72.2	33.8	79	0	152	-
ABC	ttldursp_sr_f1t1	Total sleep duration in REM sleep from type I polysomnography	Sleep Monitoring/Polysomnography	Total sleep duration in REM sleep from type I polysomnography	18-Month Followup		numeric		minutes	40	74.2	35.9	77.5	4	169	-
ANSWERS	nsrr_age	Subject age	Harmonized/Demographics	Subject age			numeric		years							
ANSWERS	cesd_total	Center for Epidemiologic Studies Depression Scale: Sum of 20 items.	General Health/Center for Epidemiologic Studies Depression Scale (CESD)	Center for Epidemiologic Studies Depression Scale: Sum of 20 items.		cesd_total=cesd_1+cesd_2+cesd_3+cesd_4+cesd_5+cesd_6+cesd_7+cesd_8+cesd_9+cesd_10+cesd_11+cesd_12+cesd_13+cesd_14+cesd_15+cesd_16+cesd_17+cesd_18+cesd_20	numeric									
ANSWERS	si_3mo_severity	Columbia Suicide Severity Ratings Scale Summary Value: Suicidal ideation severity in last 3 months	General Health/Columbia Suicide Severity Ratings Scale - Modified (CSSRS)	Columbia Suicide Severity Ratings Scale Summary Value: Suicidal ideation severity in last 3 months		si_3mo_severity=cssrs_3mo_1+cssrs_3mo_2+cssrs_3mo_3+cssrs_3mo_4+cssrs_3mo_5	numeric									
ANSWERS	gad_total	Generalized Anxiety Disorder-7 Questionnaire: Total Score	General Health/Generalized Anxiety Disorder Questionnaire (GAD-7)	Generalized Anxiety Disorder-7 Questionnaire: Total Score			numeric									
ANSWERS	inq_perceivedburden	Interpersonal Needs Questionnaire: Percieved Burden Summary Score	General Health/Interpersonal Needs Questionnaire	Interpersonal Needs Questionnaire: Percieved Burden Summary Score		inq_perceivedburden=inq_1+inq_2+inq_3+inq_4+inq_5+inq_6	numeric									
ANSWERS	inq_thwartedbelong	Interpersonal Needs Questionnaire: Thwarted Belonging Summary Score	General Health/Interpersonal Needs Questionnaire	Interpersonal Needs Questionnaire: Thwarted Belonging Summary Score			numeric									
APOE	nsrr_bmi	Body mass index (BMI)	Harmonized/Anthropometry	Body mass index (BMI)	Study Visit		numeric		kilograms per meters squared (kg/m2)	712	27.2	6.5	25.9	9.8	78.7	-
APOE	nsrr_age	Subject age	Harmonized/Demographics	Subject age	Study Visit		numeric		years	712	45.7	13.6	45.1	13	90.5	-
APOE	bmi	Body Mass index (BMI)	Anthropometry	Body Mass index (BMI)	Study Visit		numeric		kilograms per meters squared (kg/m2)	712	27.2	6.5	25.9	9.8	78.7	-
APOE	height	Height	Anthropometry	Height	Study Visit		numeric		meters (m)	712	1.7	0.1	1.7	1	2.3	-
APOE	hip_cm	Hip circumference	Anthropometry	Hip circumference	Study Visit		numeric		centimeters (cm)	508	99.7	22.5	100	34	190	204
APOE	neck_cm	Neck circumference	Anthropometry	Neck circumference	Study Visit		numeric		centimeters (cm)	604	37.5	7.4	38	12	107	108
APOE	waist_cm	Waist circumference	Anthropometry	Waist circumference	Study Visit		numeric		centimeters (cm)	537	89.1	23.4	89	22	180	175
APOE	weight	Weight	Anthropometry	Weight	Study Visit		numeric		kilograms (kg)	712	81.2	19.8	79.3	39.7	227.3	-
APOE	glucose	Glucose level	Clinical Data/Laboratory Tests	Glucose level	Study Visit		numeric		milligrams per deciliter (mg/dL)	700	89.8	16.4	89	4	205	12
APOE	hdl	HDL level	Clinical Data/Laboratory Tests	HDL level	Study Visit		numeric		milligrams per deciliter (mg/dL)	702	50.1	14.6	47.5	6	106	10
APOE	ldl	LDL level	Clinical Data/Laboratory Tests	LDL level	Study Visit		numeric		milligrams per deciliter (mg/dL)	704	126.3	35.7	123	19	331	8
APOE	total_choleserol	Total cholesterol level	Clinical Data/Laboratory Tests	Total cholesterol level	Study Visit		numeric		milligrams per deciliter (mg/dL)	705	195.2	39.3	191	87	345	7
APOE	triglycerides	Triglyceride level	Clinical Data/Laboratory Tests	Triglyceride level	Study Visit		numeric		milligrams per deciliter (mg/dL)	684	131.6	83.4	110	25	741	28
APOE	vldl	VLDL level	Clinical Data/Laboratory Tests	VLDL level	Study Visit		numeric		milligrams per deciliter (mg/dL)	158	7.9	8.9	4	2	66	554
APOE	diabp	Diastolic blood pressure	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure	Study Visit		numeric		millimeters of mercury (mmHg)	643	79.3	11.2	80	33	116	69
APOE	sysbp	Systolic blood pressure	Clinical Data/Vital Signs/Seated Blood Pressure	Systolic blood pressure	Study Visit		numeric		millimeters of mercury (mmHg)	643	126.8	16.9	126	84	184	69
APOE	age	Age	Demographics	Age	Study Visit		numeric		years	712	45.7	13.6	45.1	13	90.5	-
APOE	plmindex	Periodic limb movement index - Number of periodic limb movement per hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Limb Movements	Periodic limb movement index - Number of periodic limb movement per hour of sleep from type I polysomnography	Study Visit		numeric		number of events per hour	645	16.6	26	7.1	0	236	67
APOE	odi3evindex	Oxygen Desaturation Index: Oxygen desaturation with >= 3% desat per hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Oxygen Saturation	Oxygen Desaturation Index: Oxygen desaturation with >= 3% desat per hour of sleep from type I polysomnography	Study Visit	odi3evindex=odi3evtotal/tst	numeric		number of events per hour	668	8.4	10.5	4.6	0	69	44
APOE	odi3evtotal	Total number of oxygen desaturation with >= 3% desat during sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Oxygen Saturation	Total number of oxygen desaturation with >= 3% desat during sleep from type I polysomnography	Study Visit		numeric			668	49.2	61.1	26.5	0	432	44
APOE	sao2_baseline	Baseline level of oxygen saturation from type I polysomnography	Sleep Monitoring/Polysomnography/Oxygen Saturation	Baseline level of oxygen saturation from type I polysomnography	Study Visit		numeric		percent (%)	611	97.7	1.5	97.8	92.4	100.1	101
APOE	sao2_mean	Average oxygen saturation level during sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Oxygen Saturation	Average oxygen saturation level during sleep from type I polysomnography	Study Visit		numeric		percent (%)	711	95.8	5.8	96.4	0	100.2	1
APOE	sao2_min	Minimum oxygen saturation level during sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Oxygen Saturation	Minimum oxygen saturation level during sleep from type I polysomnography	Study Visit		numeric		percent (%)	710	89.9	5.9	91	32	98.9	2
APOE	psg_duration	Total period of recording from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Total period of recording from type I polysomnography	Study Visit		numeric		hours (hr)	712	7.9	0.9	7.8	5.4	12.8	-
APPLES	nsrr_bmi	Body mass index (BMI)	Harmonized/Anthropometry	Body mass index (BMI)	Baseline (BL)		numeric		kilograms per square meter	1512	32.1	7.8	30.4	16.8	72.4	4
APPLES	nsrr_bmi	Body mass index (BMI)	Harmonized/Anthropometry	Body mass index (BMI)	Diagnostic Visit (DX)		numeric		kilograms per square meter	-	-	-	-	-	-	1516
APPLES	nsrr_bp_diastolic	Diastolic blood pressure	Harmonized/Clinical Data	Diastolic blood pressure	Baseline (BL)		numeric		millimeters of mercury	-	-	-	-	-	-	1516
APPLES	nsrr_bp_diastolic	Diastolic blood pressure	Harmonized/Clinical Data	Diastolic blood pressure	Diagnostic Visit (DX)		numeric		millimeters of mercury	1223	78.8	10.1	79	42	120	293
APPLES	nsrr_bp_systolic	Systolic blood pressure	Harmonized/Clinical Data	Systolic blood pressure	Baseline (BL)		numeric		millimeters of mercury	-	-	-	-	-	-	1516
APPLES	nsrr_bp_systolic	Systolic blood pressure	Harmonized/Clinical Data	Systolic blood pressure	Diagnostic Visit (DX)		numeric		millimeters of mercury	1224	123.8	13.5	122	87	193	292
APPLES	nsrr_age	Subject age	Harmonized/Demographics	Subject age	Baseline (BL)		numeric		years	1516	50.1	12.9	50	18	84	-
APPLES	nsrr_age	Subject age	Harmonized/Demographics	Subject age	Diagnostic Visit (DX)		numeric		years	-	-	-	-	-	-	1516
APPLES	nsrr_ahi_chicago1999	Apnea-Hypopnea Index: (All apneas + hypopneas with >50% flow reduction or discernible flow reduction with >=3% desat or arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index: (All apneas + hypopneas with >50% flow reduction or discernible flow reduction with >=3% desat or arousal) / hour of sleep	Baseline (BL)		numeric		events per hour	-	-	-	-	-	-	1516
APPLES	nsrr_ahi_chicago1999	Apnea-Hypopnea Index: (All apneas + hypopneas with >50% flow reduction or discernible flow reduction with >=3% desat or arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index: (All apneas + hypopneas with >50% flow reduction or discernible flow reduction with >=3% desat or arousal) / hour of sleep	Diagnostic Visit (DX)		numeric		events per hour	1223	38.2	26.6	31.9	0	156.4	293
APPLES	nsrr_phrnumar_f1	Arousal Index: Number of arousals per hour of sleep from polysomnography	Harmonized/Polysomnography/Arousal	Arousal Index: Number of arousals per hour of sleep from polysomnography	Baseline (BL)		numeric		events per hour	-	-	-	-	-	-	1516
APPLES	nsrr_phrnumar_f1	Arousal Index: Number of arousals per hour of sleep from polysomnography	Harmonized/Polysomnography/Arousal	Arousal Index: Number of arousals per hour of sleep from polysomnography	Diagnostic Visit (DX)		numeric		events per hour	1223	28.8	21	23.8	0	128.1	293
APPLES	nsrr_ttlprdsp_s1sr	REM Sleep Latency: the interval between the first sleep epoch and REM sleep including wake	Harmonized/Polysomnography/Sleep Architecture	REM Sleep Latency: the interval between the first sleep epoch and REM sleep including wake	Baseline (BL)		numeric		minutes (min)	-	-	-	-	-	-	1516
APPLES	nsrr_ttlprdsp_s1sr	REM Sleep Latency: the interval between the first sleep epoch and REM sleep including wake	Harmonized/Polysomnography/Sleep Architecture	REM Sleep Latency: the interval between the first sleep epoch and REM sleep including wake	Diagnostic Visit (DX)		numeric		minutes (min)	1212	137.3	82.1	113	1	499.5	304
APPLES	dayssincerandfradh	Days Since Randomization	Administrative	Days Since Randomization	Baseline (BL)		numeric		days	-	-	-	-	-	-	1516
APPLES	dayssincerandfradh	Days Since Randomization	Administrative	Days Since Randomization	Diagnostic Visit (DX)		numeric		days	-	-	-	-	-	-	1516
APPLES	bmiblquan	Baseline Body Mass Index	Anthropometry	Baseline Body Mass Index	Baseline (BL)		numeric		kilograms per square meter	1512	32.1	7.8	30.4	16.8	72.4	4
APPLES	bmiblquan	Baseline Body Mass Index	Anthropometry	Baseline Body Mass Index	Diagnostic Visit (DX)		numeric		kilograms per square meter	-	-	-	-	-	-	1516
APPLES	bmihl	Body Mass Index from Health Log	Anthropometry	Body Mass Index from Health Log	Baseline (BL)		numeric		kilograms per square meter	1512	32.1	7.8	30.4	16.8	72.4	4
APPLES	bmihl	Body Mass Index from Health Log	Anthropometry	Body Mass Index from Health Log	Diagnostic Visit (DX)		numeric		kilograms per square meter	-	-	-	-	-	-	1516
APPLES	bmihlhp	Body Mass Index from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Anthropometry	Body Mass Index from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Baseline (BL)		numeric		kilograms per square meter	-	-	-	-	-	-	1516
APPLES	bmihlhp	Body Mass Index from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Anthropometry	Body Mass Index from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Diagnostic Visit (DX)		numeric		kilograms per square meter	-	-	-	-	-	-	1516
APPLES	bmihp	Body Mass Index from Physician's History and Physical Form	Anthropometry	Body Mass Index from Physician's History and Physical Form	Baseline (BL)		numeric		kilograms per square meter	-	-	-	-	-	-	1516
APPLES	bmihp	Body Mass Index from Physician's History and Physical Form	Anthropometry	Body Mass Index from Physician's History and Physical Form	Diagnostic Visit (DX)		numeric		kilograms per square meter	-	-	-	-	-	-	1516
APPLES	height	Height (inches) from Physician's History and Physical Form	Anthropometry	Height (inches) from Physician's History and Physical Form	Baseline (BL)		numeric		inches	1516	67.6	6.3	68	-1	80	-
APPLES	height	Height (inches) from Physician's History and Physical Form	Anthropometry	Height (inches) from Physician's History and Physical Form	Diagnostic Visit (DX)		numeric		inches	-	-	-	-	-	-	1516
APPLES	heighthl	Height from Health Log	Anthropometry	Height from Health Log	Baseline (BL)		numeric		inches	1516	67.8	5.4	68	-1	80	-
APPLES	heighthl	Height from Health Log	Anthropometry	Height from Health Log	Diagnostic Visit (DX)		numeric		inches	-	-	-	-	-	-	1516
APPLES	neckcircinchhp	Neck Circumference in Inches from Physical exam from Physician's History and Physical Form	Anthropometry	Neck Circumference in Inches from Physical exam from Physician's History and Physical Form	Baseline (BL)		numeric		inches	1098	15.9	3	16	-1	23.5	418
APPLES	neckcircinchhp	Neck Circumference in Inches from Physical exam from Physician's History and Physical Form	Anthropometry	Neck Circumference in Inches from Physical exam from Physician's History and Physical Form	Diagnostic Visit (DX)		numeric		inches	-	-	-	-	-	-	1516
APPLES	waisttohipratiohp	Waist to Hip Ratio Derived from Physical exam from Physician's History and Physical Form	Anthropometry	Waist to Hip Ratio Derived from Physical exam from Physician's History and Physical Form	Baseline (BL)		numeric			1098	0.7	0.6	0.9	-2	1.4	418
APPLES	waisttohipratiohp	Waist to Hip Ratio Derived from Physical exam from Physician's History and Physical Form	Anthropometry	Waist to Hip Ratio Derived from Physical exam from Physician's History and Physical Form	Diagnostic Visit (DX)		numeric			-	-	-	-	-	-	1516
APPLES	weight	Weight (pounds) from Physician's History and Physical Form	Anthropometry	Weight (pounds) from Physician's History and Physical Form	Baseline (BL)		numeric		pounds	1516	209.3	55.4	203	-1	490	-
APPLES	weight	Weight (pounds) from Physician's History and Physical Form	Anthropometry	Weight (pounds) from Physician's History and Physical Form	Diagnostic Visit (DX)		numeric		pounds	-	-	-	-	-	-	1516
APPLES	weighthl	Weight from Health Log	Anthropometry	Weight from Health Log	Baseline (BL)		numeric		pounds	1516	209.9	54.5	203	-1	490.3	-
APPLES	weighthl	Weight from Health Log	Anthropometry	Weight from Health Log	Diagnostic Visit (DX)		numeric		pounds	-	-	-	-	-	-	1516
APPLES	weighthlhp	Weight from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Anthropometry	Weight from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Baseline (BL)		numeric		pounds	-	-	-	-	-	-	1516
APPLES	weighthlhp	Weight from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Anthropometry	Weight from Health Log and 4M Physician's History and Physical Form (Health Log is gold standard, use 4M Physician's History and Physical Form if Health Log missing)	Diagnostic Visit (DX)		numeric		pounds	-	-	-	-	-	-	1516
APPLES	weighthp	Weight from 4M Physician's History and Physical Form	Anthropometry	Weight from 4M Physician's History and Physical Form	Baseline (BL)		numeric		pounds	-	-	-	-	-	-	1516
APPLES	weighthp	Weight from 4M Physician's History and Physical Form	Anthropometry	Weight from 4M Physician's History and Physical Form	Diagnostic Visit (DX)		numeric		pounds	-	-	-	-	-	-	1516
APPLES	mmsetotalscore	Mini Mental State Exam (MMSE) Total Score	Clinical Data/Neurocognitive Testing	Mini Mental State Exam (MMSE) Total Score	Baseline (BL)		numeric			1204	29.1	1.5	29	-9	30	312
APPLES	mmsetotalscore	Mini Mental State Exam (MMSE) Total Score	Clinical Data/Neurocognitive Testing	Mini Mental State Exam (MMSE) Total Score	Diagnostic Visit (DX)		numeric			-	-	-	-	-	-	1516
APPLES	consistentlongtermretrieval	Buschke Selective Reminding Test (BSRT) Consistent Long Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Consistent Long Term Retrieval	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	consistentlongtermretrieval	Buschke Selective Reminding Test (BSRT) Consistent Long Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Consistent Long Term Retrieval	Diagnostic Visit (DX)		numeric			1105	32	14.7	32	-3	70	411
APPLES	longtermretrieval	Buschke Selective Reminding Test (BSRT) Long Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Long Term Retrieval	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	longtermretrieval	Buschke Selective Reminding Test (BSRT) Long Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Long Term Retrieval	Diagnostic Visit (DX)		numeric			1105	39.7	14.1	41	-3	70	411
APPLES	longtermstorage	Buschke Selective Reminding Test (BSRT) Long Term Storage	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Long Term Storage	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	longtermstorage	Buschke Selective Reminding Test (BSRT) Long Term Storage	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Long Term Storage	Diagnostic Visit (DX)		numeric			1105	42.5	14.1	44	-3	70	411
APPLES	randomlongtermretrieval	Buschke Selective Reminding Test (BSRT) Random Long Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Random Long Term Retrieval	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	randomlongtermretrieval	Buschke Selective Reminding Test (BSRT) Random Long Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Random Long Term Retrieval	Diagnostic Visit (DX)		numeric			1105	7.7	5.2	7	-3	29	411
APPLES	shorttermretrieval	Buschke Selective Reminding Test (BSRT) Short Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Short Term Retrieval	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	shorttermretrieval	Buschke Selective Reminding Test (BSRT) Short Term Retrieval	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Short Term Retrieval	Diagnostic Visit (DX)		numeric			1105	10.1	5.9	10	-3	33	411
APPLES	sumrecall	Buschke Selective Reminding Test (BSRT) Sum Recall - 1 NC Outcome	Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT)	Buschke Selective Reminding Test (BSRT) Sum Recall - 1 NC Outcome	Baseline (BL)		numeric			-	-	-	-	-	-	1516
