study_name	variable_name	variable_label	folder	description	visit	domain	type
CCSHS	ahi_c0h3a	ahi_c0h3aCentral Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 3% desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 3% desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
CCSHS	ahi_c0h4	ahi_c0h4Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 4% desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with > 4% desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
CCSHS	ahi_o0h3a	ahi_o0h3aObstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
CCSHS	ahi_o0h4	ahi_o0h4Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with > 30% flow reduction and with >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
CCSHS	ai_all	ai_allArousal Index: Arousals per hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Arousals	Arousal Index: Arousals per hour of sleep from type I polysomnography			numeric
CCSHS	pctlt90	pctlt90Percentage duration of sleep with oxygen saturation < 90% from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage duration of sleep with oxygen saturation < 90% from type I polysomnography			numeric
CCSHS	slp_eff	slp_effSleep Efficiency: the ratio of sleep duration (i.e. total sleep time) to in-bed period from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Sleep Efficiency: the ratio of sleep duration (i.e. total sleep time) to in-bed period from type I polysomnography			numeric
CCSHS	slpprdp	slpprdpTotal Sleep Duration: the interval between sleep onset time and lights on/out-bed time while the participant is asleep from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset time and lights on/out-bed time while the participant is asleep from type I polysomnography			numeric
CCSHS	waso	wasoWake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from type I polysomnography			numeric
CCSHS	bp1dias1	bp1dias1Diastolic blood pressure (DBP) (Evening) time 1	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure (DBP) (Evening) time 1			numeric
CCSHS	bp1dias2	bp1dias2Diastolic blood pressure (DBP) (Evening) time 2	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure (DBP) (Evening) time 2			numeric
CCSHS	bp1dias3	bp1dias3Diastolic blood pressure (DBP) (Evening) time 3	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure (DBP) (Evening) time 3			numeric
CCSHS	bp1hr1	bp1hr1Heart rate (Evening) time 1	Clinical Data/Vital Signs/Seated Blood Pressure	Heart rate (Evening) time 1			numeric
CCSHS	bp1hr2	bp1hr2Heart rate (Evening) time 2	Clinical Data/Vital Signs/Seated Blood Pressure	Heart rate (Evening) time 2			numeric
CCSHS	bp1hr3	bp1hr3Heart rate (Evening) time 3	Clinical Data/Vital Signs/Seated Blood Pressure	Heart rate (Evening) time 3			numeric
CCSHS	bp1sys1	bp1sys1Systolic blood pressure (SBP) (Evening) time 1	Clinical Data/Vital Signs/Seated Blood Pressure	Systolic blood pressure (SBP) (Evening) time 1			numeric
CCSHS	bp1sys2	bp1sys2Systolic blood pressure (SBP) (Evening) time 2	Clinical Data/Vital Signs/Seated Blood Pressure	Systolic blood pressure (SBP) (Evening) time 2			numeric
CCSHS	bp1sys3	bp1sys3Systolic blood pressure (SBP) (Evening) time 3	Clinical Data/Vital Signs/Seated Blood Pressure	Systolic blood pressure (SBP) (Evening) time 3			numeric
CCSHS	bp1time	bp1timeTime of evening collection	Clinical Data/Vital Signs/Seated Blood Pressure	Time of evening collection			time
CCSHS	bp2dias1	bp2dias1Diastolic blood pressure (DBP) (Morning) time 1	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure (DBP) (Morning) time 1			numeric
CCSHS	bp2dias2	bp2dias2Diastolic blood pressure (DBP) (Morning) time 2	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure (DBP) (Morning) time 2			numeric
CCSHS	bp2dias3	bp2dias3Diastolic blood pressure (DBP) (Morning) time 3	Clinical Data/Vital Signs/Seated Blood Pressure	Diastolic blood pressure (DBP) (Morning) time 3			numeric
CCSHS	bp2hr1	bp2hr1Heart rate (Morning) time 1	Clinical Data/Vital Signs/Seated Blood Pressure	Heart rate (Morning) time 1			numeric
CFS	nsrrid	nsrridNSRR subject ID	Administrative	NSRR subject ID			identifier
CFS	pt	ptChild Health Questionnaire Parent Form 50 Questions: Parental impact-time subscore (0-100)	General Health/Child Health Questionnaire (CHQ)	Child Health Questionnaire Parent Form 50 Questions: Parental impact-time subscore (0-100)			numeric
CFS	efp	efpMedical Outcomes Study SF-36: Vitality subscale score (0-100)	General Health/Medical Outcomes Study Short Form (SF-36)	Medical Outcomes Study SF-36: Vitality subscale score (0-100)			numeric
CFS	mhp	mhpMedical Outcomes Study SF-36: General mental health subscale score  (0-100)	General Health/Medical Outcomes Study Short Form (SF-36)	Medical Outcomes Study SF-36: General mental health subscale score (0-100)			numeric
CFS	nsrr_age_gt89	nsrr_age_gt89Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years		no:no|yes:yes	choices
CFS	nsrr_ahi_hp3r_aasm15	nsrr_ahi_hp3r_aasm15Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep			numeric
CFS	nsrr_ahi_hp4u_aasm15	nsrr_ahi_hp4u_aasm15Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep	Harmonized/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep			numeric
CFS	nsrr_ttldursp_f1	nsrr_ttldursp_f1Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography			numeric
CFS	ahi_a0h3a	ahi_a0h3aApnea-Hypopnea Index : (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
CFS	ahi_a0h4	ahi_a0h4Apnea-Hypopnea Index : (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index : (Apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
CFS	ahi_c0h3a	ahi_c0h3aCentral Apnea-Hypopnea Index : (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Central Apnea-Hypopnea Index : (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
CFS	ahi_c0h4	ahi_c0h4Central Apnea-Hypopnea Index : (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Central Apnea-Hypopnea Index : (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
CFS	ahi_o0h3a	ahi_o0h3aObstructive Apnea-Hypopnea Index : (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Obstructive Apnea-Hypopnea Index : (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type I polysomnography			numeric
CFS	ahi_o0h4	ahi_o0h4Obstructive Apnea-Hypopnea Index : (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Obstructive Apnea-Hypopnea Index : (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type I polysomnography			numeric
CFS	ai_all	ai_allArousal Index: number of arousals per hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Arousal	Arousal Index: number of arousals per hour of sleep from type I polysomnography			numeric
CFS	pctsa90h	pctsa90hPercent of the total sleep duration with oxygen saturation below 90% from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percent of the total sleep duration with oxygen saturation below 90% from type I polysomnography			numeric
CFS	times34p	times34pPercentage duration of sleep in stage 3/4 sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage duration of sleep in stage 3/4 sleep from type I polysomnography			numeric
CFS	timest1p	timest1pPercentage of stage 1 sleep among total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage of stage 1 sleep among total sleep duration from type I polysomnography			numeric
CFS	timest2p	timest2pPercentage of stage 2 sleep among total sleep duration from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Percentage of stage 2 sleep among total sleep duration from type I polysomnography			numeric
CFS	waso	wasoWake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from type I polysomnography	Sleep Monitoring/Polysomnography/Sleep Architecture	Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from type I polysomnography			numeric
CHAT	new_pid	new_pidOriginal Participant ID	Administrative	Original Participant ID			identifier
CHAT	nsrrid	nsrridNSRR Subject Identifier	Administrative	NSRR Subject Identifier			identifier
CHAT	nsrr_age_gt89	nsrr_age_gt89Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years	Harmonized/Demographics	Indicates whether the subject's age (in years) used during date obfuscation is greater than 89 years		no:no|yes:yes	choices
CHAT	nsrr_begtimbd_f1	nsrr_begtimbd_f1Lights-out or In-bed clock time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Lights-out or In-bed clock time from polysomnography			time
CHAT	nsrr_begtimsp_f1	nsrr_begtimsp_f1Sleep onset time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep onset time from polysomnography			time
CHAT	nsrr_endtimbd_f1	nsrr_endtimbd_f1Lights-on or out-bed clock time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Lights-on or out-bed clock time from polysomnography			time
CHAT	nsrr_pctdursp_s1	nsrr_pctdursp_s1Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography			numeric
CHAT	nsrr_pctdursp_s2	nsrr_pctdursp_s2Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography			numeric
CHAT	nsrr_pctdursp_s3	nsrr_pctdursp_s3Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography			numeric
CHAT	nsrr_pctdursp_sr	nsrr_pctdursp_srPercentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography			numeric
CHAT	nsrr_tib_f1	nsrr_tib_f1Total In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography			numeric
CHAT	nsrr_tst_f1	nsrr_tst_f1Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography			numeric
CHAT	nsrr_ttleffsp_f1	nsrr_ttleffsp_f1Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography			numeric
CHAT	nsrr_ttllatsp_f1	nsrr_ttllatsp_f1Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography			integer
CHAT	nsrr_waso_f1	nsrr_waso_f1Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from polysomnography	Harmonized/Polysomnography/Sleep Architecture	Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from polysomnography			numeric
CHAT	cai0p	cai0pCentral Apnea Index : (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Central Apnea Index : (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type I polysomnography			numeric
CHAT	omahi3b	omahi3bChildhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (Supine): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of sleep in supine position from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Childhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (Supine): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of sleep in supine position from type I polysomnography			numeric
CHAT	omahi3nr	omahi3nrChildhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (NREM): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of NREM sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Childhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (NREM): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of NREM sleep from type I polysomnography			numeric
CHAT	omahi3o	omahi3oChildhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (Non-Supine): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of sleep in non-supine position from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Childhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (Non-Supine): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of sleep in non-supine position from type I polysomnography			numeric
CHAT	omahi3r	omahi3rChildhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (REM): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of REM sleep from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Childhood Adenotonsillectomy Trial (CHAT) Apnea-Hypopnea Index (AHI) - Obstructive and Mixed Apnea-Hypopnea Index (REM): (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ mixed apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and >= 3% oxygen desaturation or arousal) / hour of REM sleep from type I polysomnography			numeric
CHAT	rdim3pns	rdim3pnsApnea-Hypopnea Index (Non-Supine): (Apneas with >= 3% oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and with >= 3% oxygen desaturation used and with or without arousal) / hour of sleep in non-supine from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index (Non-Supine): (Apneas with >= 3% oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and with >= 3% oxygen desaturation used and with or without arousal) / hour of sleep in non-supine from type I polysomnography			numeric
CHAT	rdim3ps	rdim3psApnea-Hypopnea Index (Supine): (Apneas with >= 3% oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and with >= 3% oxygen desaturation used and with or without arousal) / hour of sleep in supine from type I polysomnography	Sleep Monitoring/Polysomnography/Apnea-Hypopnea Indices	Apnea-Hypopnea Index (Supine): (Apneas with >= 3% oxygen desaturation threshold used and with or without arousal+ hypopneas with > 50% flow reduction and with >= 3% oxygen desaturation used and with or without arousal) / hour of sleep in supine from type I polysomnography			numeric
DISECAD	nsrrid	nsrridNSRR subject identifier	Administrative	NSRR subject identifier			identifier
DISECAD	visit	visitDISE-CAD study flow	Administrative	DISE-CAD study flow			choices
FDCSR	subject	subjectSubject identifier	Administrative	Subject identifier			identifier
FDCSR	end_analysis	end_analysisForced desynchrony (FD) analysis end time represented as lab time	Sleep Monitoring/Circadian Rhythm	Forced desynchrony (FD) analysis end time represented as lab time			numeric
FDCSR	est_dst	est_dstStudy times in Eastern Standard Time (EST) or Daylight Saving Time (DST)	Sleep Monitoring/Circadian Rhythm	Study times in Eastern Standard Time (EST) or Daylight Saving Time (DST)			string
FDCSR	hab_wake	hab_wakeHabitual wake time	Sleep Monitoring/Circadian Rhythm	Habitual wake time			numeric
FDCSR	start_analysis	start_analysisForced desynchrony (FD) Analysis start time represented as lab time	Sleep Monitoring/Circadian Rhythm	Forced desynchrony (FD) Analysis start time represented as lab time			numeric
FDCSR	cbt_comp_min	cbt_comp_minCalculated time of circadian rhythm nadir using all harmonics during forced desynchrony (FD) based on core body temperature (CBT)	Sleep Monitoring/Circadian Rhythm/Core Body Temperature	Calculated time of circadian rhythm nadir using all harmonics during forced desynchrony (FD) based on core body temperature (CBT)			numeric
FDCSR	cbt_fund_min	cbt_fund_minCalculated time of circadian rhythm nadir using only fundamental harmonic during forced desynchrony (FD) based on core body temperature (CBT)	Sleep Monitoring/Circadian Rhythm/Core Body Temperature	Calculated time of circadian rhythm nadir using only fundamental harmonic during forced desynchrony (FD) based on core body temperature (CBT)			numeric
FDCSR	mel_comp_max	mel_comp_maxCalculated time of circadian rhythm peak using all harmonics during forced desynchrony (FD) based on melatonin data	Sleep Monitoring/Circadian Rhythm/Melatonin	Calculated time of circadian rhythm peak using all harmonics during forced desynchrony (FD) based on melatonin data			numeric
FDCSR	mel_fund_max	mel_fund_maxCalculated time of circadian rhythm peak using only fundamental harmonic during forced desynchrony (FD) based on melatonin data	Sleep Monitoring/Circadian Rhythm/Melatonin	Calculated time of circadian rhythm peak using only fundamental harmonic during forced desynchrony (FD) based on melatonin data			numeric
FFCWS	timepoint	timepointFFCWS Visit timepoint	Administrative	FFCWS Visit timepoint			choices
FFCWS	nsrrid	nsrridNSRR subject ID	Harmonized/Administrative	NSRR subject ID			identifier
FFCWS	a6_dailysleepdur_mins_mn	a6_dailysleepdur_mins_mnAverage daily sleep period over 24-hour periods among all days from actigraphy	Sleep Monitoring/Actigraphy	Average daily sleep period over 24-hour periods among all days from actigraphy			numeric
FFCWS	a6_dailysleepdur_mins_sd	a6_dailysleepdur_mins_sdStandard deviation of daily sleep period over 24-hour periods among all days from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily sleep period over 24-hour periods among all days from actigraphy			numeric
FFCWS	a6_dailysleepdur_mins_wk_mn	a6_dailysleepdur_mins_wk_mnAverage daily sleep period over 24-hour periods on weekdays from actigraphy	Sleep Monitoring/Actigraphy	Average daily sleep period over 24-hour periods on weekdays from actigraphy			numeric
FFCWS	a6_dailysleepdur_mins_wknd_mn	a6_dailysleepdur_mins_wknd_mnAverage daily sleep period over 24-hour periods on weekends from actigraphy	Sleep Monitoring/Actigraphy	Average daily sleep period over 24-hour periods on weekends from actigraphy			numeric
FFCWS	a6_dailysleepdur_mins_wknd_sd	a6_dailysleepdur_mins_wknd_sdStandard deviation of daily sleep period over 24-hour periods on weekends from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily sleep period over 24-hour periods on weekends from actigraphy			numeric
FFCWS	a6_dailysleepdur_mins_wk_sd	a6_dailysleepdur_mins_wk_sdStandard deviation of daily sleep period over 24-hour periods on weekdays from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily sleep period over 24-hour periods on weekdays from actigraphy			numeric
FFCWS	a6_nightsleepdur_mins_mn	a6_nightsleepdur_mins_mnAverage daily sleep period (includes WASO) in main sleep among all days from actigraphy	Sleep Monitoring/Actigraphy	Average daily sleep period (includes WASO) in main sleep among all days from actigraphy			numeric
FFCWS	a6_nightsleepdur_mins_sd	a6_nightsleepdur_mins_sdStandard deviation of daily sleep period (includes WASO) in main sleep among all days from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily sleep period (includes WASO) in main sleep among all days from actigraphy			numeric
FFCWS	a6_nightslp_end_dec_mn	a6_nightslp_end_dec_mnAverage daily sleep offset (decimal time) in main sleep among all days from actigraphy	Sleep Monitoring/Actigraphy	Average daily sleep offset (decimal time) in main sleep among all days from actigraphy			numeric
FFCWS	a6_nightslp_end_dec_sd	a6_nightslp_end_dec_sdStandard deviation of daily sleep onset (decimal time) in main sleep among all days from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily sleep onset (decimal time) in main sleep among all days from actigraphy			numeric
FFCWS	a6_nightslp_end_dec_wk_mn	a6_nightslp_end_dec_wk_mnAverage daily sleep offset (decimal time) in main sleep on weekdays from actigraphy	Sleep Monitoring/Actigraphy	Average daily sleep offset (decimal time) in main sleep on weekdays from actigraphy			numeric
FFCWS	a6_nightslp_end_dec_wknd_mn	a6_nightslp_end_dec_wknd_mnAverage daily sleep offset (decimal time) in main sleep on weekends from actigraphy	Sleep Monitoring/Actigraphy	Average daily sleep offset (decimal time) in main sleep on weekends from actigraphy			numeric
FFCWS	a6_nightslp_end_dec_wknd_sd	a6_nightslp_end_dec_wknd_sdStandard deviation of daily sleep onset (decimal time) in main sleep on weekends from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily sleep onset (decimal time) in main sleep on weekends from actigraphy			numeric
FFCWS	a6_nightslp_end_dec_wk_sd	a6_nightslp_end_dec_wk_sdStandard deviation of daily sleep onset (decimal time) in main sleep on weekdays from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily sleep onset (decimal time) in main sleep on weekdays from actigraphy			numeric
FFCWS	a6_nightslp_mid_dec_c_mn	a6_nightslp_mid_dec_c_mnAverage daily mid-point of sleep period (midnight-centered decimal time) in main sleep among all days from actigraphy	Sleep Monitoring/Actigraphy	Average daily mid-point of sleep period (midnight-centered decimal time) in main sleep among all days from actigraphy			numeric
FFCWS	a6_nightslp_mid_dec_c_sd	a6_nightslp_mid_dec_c_sdStandard deviation of daily mid-point of sleep period (midnight-centered decimal time) in main sleep among all days from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily mid-point of sleep period (midnight-centered decimal time) in main sleep among all days from actigraphy			numeric
FFCWS	a6_nightslp_mid_dec_c_wk_mn	a6_nightslp_mid_dec_c_wk_mnAverage daily mid-point of sleep period (midnight-centered decimal time) in main sleep on weekdays from actigraphy	Sleep Monitoring/Actigraphy	Average daily mid-point of sleep period (midnight-centered decimal time) in main sleep on weekdays from actigraphy			numeric
FFCWS	a6_nightslp_mid_dec_c_wknd_mn	a6_nightslp_mid_dec_c_wknd_mnAverage daily mid-point of sleep period (midnight-centered decimal time) in main sleep on weekends from actigraphy	Sleep Monitoring/Actigraphy	Average daily mid-point of sleep period (midnight-centered decimal time) in main sleep on weekends from actigraphy			numeric
FFCWS	a6_nightslp_mid_dec_c_wknd_sd	a6_nightslp_mid_dec_c_wknd_sdStandard deviation of daily mid-point of sleep period (midnight-centered decimal time) in main sleep on weekends from actigraphy	Sleep Monitoring/Actigraphy	Standard deviation of daily mid-point of sleep period (midnight-centered decimal time) in main sleep on weekends from actigraphy			numeric
