study_name	variable_name	variable_label	folder	description	visit	domain	type	total_subjects	units	n	mean	stddev	median	min	max	unknown
APPLES	totaldyad20	totaldyad20Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.0 second trial	Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT)	Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.0 second trial	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	totaldyad20	totaldyad20Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.0 second trial	Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT)	Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.0 second trial	Diagnostic Visit (DX)		numeric			1105	31.5	17.0	33.0	-3.0	59.0	411
APPLES	totaldyad24	totaldyad24Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.4 second trial	Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT)	Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.4 second trial	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	totaldyad24	totaldyad24Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.4 second trial	Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT)	Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.4 second trial	Diagnostic Visit (DX)		numeric			1105	38.2	17.2	43.0	-3.0	59.0	411
APPLES	totaldyadall	totaldyadallPaced Auditory Serial Addition Task (PASAT) Total Dyad Responses - All 4 trials combined	Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT)	Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - All 4 trials combined	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	totaldyadall	totaldyadallPaced Auditory Serial Addition Task (PASAT) Total Dyad Responses - All 4 trials combined	Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT)	Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - All 4 trials combined	Diagnostic Visit (DX)		numeric			1105	104.6	56.8	104.0	-3.0	231.0	411
APPLES	falsestartsc	falsestartscPsychomotor Vigilance Test (PVT) False Start (C) (no stimulus, correct key)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) False Start (C) (no stimulus, correct key)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	falsestartsc	falsestartscPsychomotor Vigilance Test (PVT) False Start (C) (no stimulus, correct key)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) False Start (C) (no stimulus, correct key)	Diagnostic Visit (DX)		numeric			1199	2.3	4.5	1.0	0.0	73.0	317
APPLES	falsestartse	falsestartsePsychomotor Vigilance Test (PVT) False Start (E) (no stimulus, incorrect key)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) False Start (E) (no stimulus, incorrect key)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	falsestartse	falsestartsePsychomotor Vigilance Test (PVT) False Start (E) (no stimulus, incorrect key)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) False Start (E) (no stimulus, incorrect key)	Diagnostic Visit (DX)		numeric			1199	0.09	0.9	0.0	0.0	20.0	317
APPLES	goodrs	goodrsPsychomotor Vigilance Test (PVT) Good Rs (correct responses)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Good Rs (correct responses)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	goodrs	goodrsPsychomotor Vigilance Test (PVT) Good Rs (correct responses)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Good Rs (correct responses)	Diagnostic Visit (DX)		numeric			1199	94.3	6.4	94.0	0.0	150.0	317
APPLES	hand	handPsychomotor Vigilance Test (PVT) Handedness	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Handedness			choices									
APPLES	isimaximum	isimaximumPsychomotor Vigilance Test (PVT) Interstimulus Interval Maximum	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Interstimulus Interval Maximum	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	isimaximum	isimaximumPsychomotor Vigilance Test (PVT) Interstimulus Interval Maximum	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Interstimulus Interval Maximum	Diagnostic Visit (DX)		numeric			1199	9997.5	86.6	10000.0	7000.0	10000.0	317
APPLES	isiminimum	isiminimumPsychomotor Vigilance Test (PVT) Interstimulus Interval Minimum	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Interstimulus Interval Minimum	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	isiminimum	isiminimumPsychomotor Vigilance Test (PVT) Interstimulus Interval Minimum	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Interstimulus Interval Minimum	Diagnostic Visit (DX)		numeric			1199	1999.2	28.9	2000.0	1000.0	2000.0	317
APPLES	lapsesrtge500	lapsesrtge500Psychomotor Vigilance Test (PVT) Total Lapse Counts (>=500 msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Total Lapse Counts (>=500 msec)	Baseline (BL)		numeric		>=500 msec	-	-	-	-	-	-	1516
APPLES	lapsesrtge500	lapsesrtge500Psychomotor Vigilance Test (PVT) Total Lapse Counts (>=500 msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Total Lapse Counts (>=500 msec)	Diagnostic Visit (DX)		numeric		>=500 msec	1199	1.9	4.3	1.0	-22.0	82.0	317
APPLES	lapsqrxfrm	lapsqrxfrmPsychomotor Vigilance Test (PVT) Total lapse counts transformed by using Freeman & Tukey's (1950) square root of X plus square root of (X + 1)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Total lapse counts transformed by using Freeman & Tukey's (1950) square root of X plus square root of (X + 1)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	lapsqrxfrm	lapsqrxfrmPsychomotor Vigilance Test (PVT) Total lapse counts transformed by using Freeman & Tukey's (1950) square root of X plus square root of (X + 1)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Total lapse counts transformed by using Freeman & Tukey's (1950) square root of X plus square root of (X + 1)	Diagnostic Visit (DX)		numeric			1199	2.5	2.0	2.4	-22.0	18.2	317
APPLES	meanfrt	meanfrtPsychomotor Vigilance Test (PVT) Mean of fastest 10% of RTs (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean of fastest 10% of RTs (msec)	Baseline (BL)		numeric		msec	-	-	-	-	-	-	1516
APPLES	meanfrt	meanfrtPsychomotor Vigilance Test (PVT) Mean of fastest 10% of RTs (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean of fastest 10% of RTs (msec)	Diagnostic Visit (DX)		numeric		msec	1199	198.7	50.7	196.9	-888.0	595.1	317
APPLES	meanrt	meanrtPsychomotor Vigilance Test (PVT) Mean RT (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean RT (msec)	Baseline (BL)		numeric		msec	-	-	-	-	-	-	1516
APPLES	meanrt	meanrtPsychomotor Vigilance Test (PVT) Mean RT (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean RT (msec)	Diagnostic Visit (DX)		numeric		msec	1199	272.8	79.1	260.8	-888.0	978.5	317
APPLES	meansrrt	meansrrtPsychomotor Vigilance Test (PVT) Mean reciprocal (1/RT) of slowest 10% of responses	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean reciprocal (1/RT) of slowest 10% of responses	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	meansrrt	meansrrtPsychomotor Vigilance Test (PVT) Mean reciprocal (1/RT) of slowest 10% of responses	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean reciprocal (1/RT) of slowest 10% of responses	Diagnostic Visit (DX)		numeric			1199	1.1	36.4	2.6	-888.0	4.4	317
APPLES	meansrt	meansrtPsychomotor Vigilance Test (PVT) Mean of slowest 10% of RTs (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean of slowest 10% of RTs (msec)	Baseline (BL)		numeric		msec	-	-	-	-	-	-	1516
APPLES	meansrt	meansrtPsychomotor Vigilance Test (PVT) Mean of slowest 10% of RTs (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Mean of slowest 10% of RTs (msec)	Diagnostic Visit (DX)		numeric		msec	1199	470.5	380.9	397.7	-888.0	6247.6	317
APPLES	medianrt	medianrtPsychomotor Vigilance Test (PVT) Median RT (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Median RT (msec)	Baseline (BL)		numeric		msec	-	-	-	-	-	-	1516
APPLES	medianrt	medianrtPsychomotor Vigilance Test (PVT) Median RT (msec)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Median RT (msec)	Diagnostic Visit (DX)		numeric		msec	1199	249.5	63.0	246.0	-888.0	758.0	317
APPLES	sleepypost	sleepypostPsychomotor Vigilance Test (PVT) Sleepiness Post-test - Visual Analog Scale Rating (range 1-10)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Sleepiness Post-test - Visual Analog Scale Rating (range 1-10)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	sleepypost	sleepypostPsychomotor Vigilance Test (PVT) Sleepiness Post-test - Visual Analog Scale Rating (range 1-10)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Sleepiness Post-test - Visual Analog Scale Rating (range 1-10)	Diagnostic Visit (DX)		numeric			1199	6.4	3.5	7.0	-21.0	10.0	317
APPLES	sleepypre	sleepyprePsychomotor Vigilance Test (PVT) Sleepiness Pre-test - Visual Analog Scale Rating (range 1-10)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Sleepiness Pre-test - Visual Analog Scale Rating (range 1-10)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	sleepypre	sleepyprePsychomotor Vigilance Test (PVT) Sleepiness Pre-test - Visual Analog Scale Rating (range 1-10)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Sleepiness Pre-test - Visual Analog Scale Rating (range 1-10)	Diagnostic Visit (DX)		numeric			1199	5.7	3.2	6.0	-21.0	10.0	317
APPLES	totalerrors	totalerrorsPsychomotor Vigilance Test (PVT) Total sum of errors (includes all false starts and wrong button presses)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Total sum of errors (includes all false starts and wrong button presses)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	totalerrors	totalerrorsPsychomotor Vigilance Test (PVT) Total sum of errors (includes all false starts and wrong button presses)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Total sum of errors (includes all false starts and wrong button presses)	Diagnostic Visit (DX)		numeric			1199	2.8	6.8	1.0	0.0	100.0	317
APPLES	triallength	triallengthPsychomotor Vigilance Test (PVT) Trial Length	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Trial Length	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	triallength	triallengthPsychomotor Vigilance Test (PVT) Trial Length	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Trial Length	Diagnostic Visit (DX)		numeric			1199	600.3	8.7	600.0	600.0	900.0	317
APPLES	trialno	trialnoPsychomotor Vigilance Test (PVT) Trial Number	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Trial Number	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	trialno	trialnoPsychomotor Vigilance Test (PVT) Trial Number	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Trial Number	Diagnostic Visit (DX)		numeric			1199	53.7	10.2	52.0	31.0	72.0	317
APPLES	wrongkeyrs	wrongkeyrsPsychomotor Vigilance Test (PVT) Wrong Key Rs (stimulus present, incorrect key)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Wrong Key Rs (stimulus present, incorrect key)	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	wrongkeyrs	wrongkeyrsPsychomotor Vigilance Test (PVT) Wrong Key Rs (stimulus present, incorrect key)	Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT)	Psychomotor Vigilance Test (PVT) Wrong Key Rs (stimulus present, incorrect key)	Diagnostic Visit (DX)		numeric			1199	0.3	4.6	0.0	0.0	97.0	317
APPLES	swmtactivation1	swmtactivation1Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Morning Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtactivation1	swmtactivation1Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Morning Administration	Diagnostic Visit (DX)		numeric			1105	-0.7	3.0	-0.1	-19.0	2.0	411
APPLES	swmtactivation2	swmtactivation2Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Mid-day Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtactivation2	swmtactivation2Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Mid-day Administration	Diagnostic Visit (DX)		numeric			1105	-0.5	2.5	-0.02	-19.0	2.2	411
APPLES	swmtactivation3	swmtactivation3Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Afternoon Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Afternoon Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtactivation3	swmtactivation3Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Afternoon Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Activation Sub-Index - Afternoon Administration	Diagnostic Visit (DX)		numeric			1105	-0.4	2.6	0.04	-19.0	2.4	411
APPLES	swmtalert1	swmtalert1Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Morning Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtalert1	swmtalert1Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Morning Administration	Diagnostic Visit (DX)		numeric			1105	-0.2	2.1	0.1	-19.0	1.8	411
APPLES	swmtalert2	swmtalert2Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Mid-day Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtalert2	swmtalert2Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Mid-day Administration	Diagnostic Visit (DX)		numeric			1105	-0.4	1.9	-0.1	-19.0	2.2	411
APPLES	swmtalert3	swmtalert3Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Afternoon Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Afternoon Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtalert3	swmtalert3Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Afternoon Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) EEG Alertness Sub-Index - Afternoon Administration	Diagnostic Visit (DX)		numeric			1105	-0.4	2.0	-0.2	-19.0	1.4	411
APPLES	swmtbehavewm1	swmtbehavewm1Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Morning Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtbehavewm1	swmtbehavewm1Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Morning Administration	Diagnostic Visit (DX)		numeric			1105	-0.4	2.3	-0.05	-19.0	2.1	411
APPLES	swmtbehavewm2	swmtbehavewm2Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Mid-day Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtbehavewm2	swmtbehavewm2Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Mid-day Administration	Diagnostic Visit (DX)		numeric			1105	-0.07	1.5	0.04	-19.0	2.5	411
APPLES	swmtbehavewm3	swmtbehavewm3Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Afternoon Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Afternoon Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmtbehavewm3	swmtbehavewm3Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Afternoon Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) Behavioral Working Memory Sub-Index - Afternoon Administration	Diagnostic Visit (DX)		numeric			1105	-0.1	1.5	0.03	-19.0	1.6	411
APPLES	swmthlacc1	swmthlacc1Sustained Working Memory Test (SWMT) n-back higher level accuracy - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) n-back higher level accuracy - Morning Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmthlacc1	swmthlacc1Sustained Working Memory Test (SWMT) n-back higher level accuracy - Morning Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) n-back higher level accuracy - Morning Administration	Diagnostic Visit (DX)		numeric			1105	89.8	13.5	94.0	-19.0	100.0	411
APPLES	swmthlacc2	swmthlacc2Sustained Working Memory Test (SWMT) n-back higher level accuracy - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) n-back higher level accuracy - Mid-day Administration	Baseline (BL)		numeric			-	-	-	-	-	-	1516
APPLES	swmthlacc2	swmthlacc2Sustained Working Memory Test (SWMT) n-back higher level accuracy - Mid-day Administration	Clinical Data/Neurocognitive Testing/Sustained Working Memory Test (SWMT)	Sustained Working Memory Test (SWMT) n-back higher level accuracy - Mid-day Administration	Diagnostic Visit (DX)		numeric			1105	90.5	12.5	94.0	-19.0	100.0	411
BESTAIR	final_visit	final_visitFinal visit month	Administrative	Final visit month			choices									
BESTAIR	pooled_treatmentarm	pooled_treatmentarmPooled treatment arm	Administrative	Pooled treatment arm			choices									
BESTAIR	rand_manufacturer	rand_manufacturerDevice manufacturer	Administrative	Device manufacturer			choices									
BESTAIR	rand_treatmentarm	rand_treatmentarmTreatment arm	Administrative	Treatment arm			choices									
BESTAIR	visitnumber	visitnumberVisit number	Administrative	Visit number			choices									
BESTAIR	bmi	bmiBody mass index (BMI)	Anthropometry	Body mass index (BMI)	Baseline Visit		numeric		kilograms per meter squared (kg/m2)	169	31.7	5.9	31.2	19.6	62.9	-
BESTAIR	bmi	bmiBody mass index (BMI)	Anthropometry	Body mass index (BMI)	Month-6 Follow-up Visit		numeric		kilograms per meter squared (kg/m2)	136	31.4	5.3	31.3	20.2	47.0	33
BESTAIR	bmi	bmiBody mass index (BMI)	Anthropometry	Body mass index (BMI)	Month-12 Follow-up Visit		numeric		kilograms per meter squared (kg/m2)	80	31.7	5.8	31.7	20.2	48.0	28
BESTAIR	bloods_hdlchol	bloods_hdlcholHigh-density lipoproteins (HDL) cholesterol	Clinical Data/Laboratory Tests	High-density lipoproteins (HDL) cholesterol	Baseline Visit		numeric		milligrams per deciliter (mg/dL)	168	50.5	14.6	49.0	19.0	97.0	1
BESTAIR	bloods_hdlchol	bloods_hdlcholHigh-density lipoproteins (HDL) cholesterol	Clinical Data/Laboratory Tests	High-density lipoproteins (HDL) cholesterol	Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	134	51.5	13.6	50.0	26.0	92.0	35
BESTAIR	bloods_hdlchol	bloods_hdlcholHigh-density lipoproteins (HDL) cholesterol	Clinical Data/Laboratory Tests	High-density lipoproteins (HDL) cholesterol	Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	80	50.6	13.9	48.5	26.0	86.0	28
BESTAIR	bloods_hemoa1c	bloods_hemoa1cGlycated hemoglobin (HbA1c)	Clinical Data/Laboratory Tests	Glycated hemoglobin (HbA1c)	Baseline Visit		numeric		percent (%)	165	6.3	1.1	6.0	4.6	12.0	4
BESTAIR	bloods_hemoa1c	bloods_hemoa1cGlycated hemoglobin (HbA1c)	Clinical Data/Laboratory Tests	Glycated hemoglobin (HbA1c)	Month-6 Follow-up Visit		numeric		percent (%)	132	6.2	1.0	5.9	4.3	10.9	37
BESTAIR	bloods_hemoa1c	bloods_hemoa1cGlycated hemoglobin (HbA1c)	Clinical Data/Laboratory Tests	Glycated hemoglobin (HbA1c)	Month-12 Follow-up Visit		numeric		percent (%)	80	6.3	1.1	5.9	4.8	10.2	28
BESTAIR	bloods_insulinfast	bloods_insulinfastFasting insulin	Clinical Data/Laboratory Tests	Fasting insulin	Baseline Visit		numeric		milli-international units per milliliter (uIU/mL)	166	15.5	17.1	11.0	1.9	135.0	3
BESTAIR	bloods_insulinfast	bloods_insulinfastFasting insulin	Clinical Data/Laboratory Tests	Fasting insulin	Month-6 Follow-up Visit		numeric		milli-international units per milliliter (uIU/mL)	110	14.5	11.9	11.2	1.8	80.9	59
BESTAIR	bloods_insulinfast	bloods_insulinfastFasting insulin	Clinical Data/Laboratory Tests	Fasting insulin	Month-12 Follow-up Visit		numeric		milli-international units per milliliter (uIU/mL)	80	15.6	21.4	9.1	3.1	130.4	28
BESTAIR	bloods_ldlcholcalc	bloods_ldlcholcalcLow-density lipoproteins (LDL) cholesterol	Clinical Data/Laboratory Tests	Low-density lipoproteins (LDL) cholesterol	Baseline Visit		numeric		milligrams per deciliter (mg/dL)	166	89.6	30.7	84.0	32.0	227.0	3
BESTAIR	bloods_ldlcholcalc	bloods_ldlcholcalcLow-density lipoproteins (LDL) cholesterol	Clinical Data/Laboratory Tests	Low-density lipoproteins (LDL) cholesterol	Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	133	92.7	32.6	86.0	42.0	280.0	36
BESTAIR	bloods_ldlcholcalc	bloods_ldlcholcalcLow-density lipoproteins (LDL) cholesterol	Clinical Data/Laboratory Tests	Low-density lipoproteins (LDL) cholesterol	Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	78	94.9	31.3	89.5	40.0	213.0	30
BESTAIR	bloods_totalchol	bloods_totalcholTotal cholesterol	Clinical Data/Laboratory Tests	Total cholesterol	Baseline Visit		numeric		milligrams per deciliter (mg/dL)	168	165.1	36.1	161.0	91.0	313.0	1
BESTAIR	bloods_totalchol	bloods_totalcholTotal cholesterol	Clinical Data/Laboratory Tests	Total cholesterol	Month-6 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	134	168.1	37.3	164.0	105.0	362.0	35
BESTAIR	bloods_totalchol	bloods_totalcholTotal cholesterol	Clinical Data/Laboratory Tests	Total cholesterol	Month-12 Follow-up Visit		numeric		milligrams per deciliter (mg/dL)	80	172.8	36.9	166.5	109.0	301.0	28
BESTAIR	bp24dbpweight	bp24dbpweightWeighted average of diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Weighted average of diastolic blood pressure (DBP)	Baseline Visit		numeric		millimeters of mercury (mmHg)	161	72.4	7.8	72.5	52.5	92.2	8
BESTAIR	bp24dbpweight	bp24dbpweightWeighted average of diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Weighted average of diastolic blood pressure (DBP)	Month-6 Follow-up Visit		numeric		millimeters of mercury (mmHg)	124	72.4	8.9	71.7	51.6	100.9	45
BESTAIR	bp24dbpweight	bp24dbpweightWeighted average of diastolic blood pressure (DBP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Weighted average of diastolic blood pressure (DBP)	Month-12 Follow-up Visit		numeric		millimeters of mercury (mmHg)	72	71.4	7.1	71.1	57.9	85.7	36
BESTAIR	bp24mapweight	bp24mapweightWeighted average of mean arterial pressure (MAP)	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Weighted average of mean arterial pressure (MAP)	Baseline Visit		numeric		millimeters of mercury (mmHg)	161	89.6	8.7	89.6	68.4	115.5	8
